    PID TTY          TIME CMD
      1 ?        00:00:02 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 slub_flushwq
      6 ?        00:00:00 netns
      8 ?        00:00:00 kworker/0:0H-events_highpri
     10 ?        00:00:00 mm_percpu_wq
     11 ?        00:00:00 rcu_tasks_rude_
     12 ?        00:00:00 rcu_tasks_trace
     13 ?        00:00:00 ksoftirqd/0
     14 ?        00:00:05 rcu_sched
     15 ?        00:00:00 migration/0
     16 ?        00:00:00 idle_inject/0
     18 ?        00:00:00 cpuhp/0
     19 ?        00:00:00 cpuhp/1
     20 ?        00:00:00 idle_inject/1
     21 ?        00:00:00 migration/1
     22 ?        00:00:00 ksoftirqd/1
     24 ?        00:00:00 kworker/1:0H-events_highpri
     25 ?        00:00:00 cpuhp/2
     26 ?        00:00:00 idle_inject/2
     27 ?        00:00:00 migration/2
     28 ?        00:00:00 ksoftirqd/2
     30 ?        00:00:00 kworker/2:0H-kblockd
     31 ?        00:00:00 cpuhp/3
     32 ?        00:00:00 idle_inject/3
     33 ?        00:00:00 migration/3
     34 ?        00:00:00 ksoftirqd/3
     36 ?        00:00:00 kworker/3:0H-events_highpri
     37 ?        00:00:00 cpuhp/4
     38 ?        00:00:00 idle_inject/4
     39 ?        00:00:00 migration/4
     40 ?        00:00:00 ksoftirqd/4
     42 ?        00:00:00 kworker/4:0H-events_highpri
     43 ?        00:00:00 cpuhp/5
     44 ?        00:00:00 idle_inject/5
     45 ?        00:00:00 migration/5
     46 ?        00:00:00 ksoftirqd/5
     48 ?        00:00:00 kworker/5:0H-events_highpri
     49 ?        00:00:00 cpuhp/6
     50 ?        00:00:00 idle_inject/6
     51 ?        00:00:00 migration/6
     52 ?        00:00:00 ksoftirqd/6
     54 ?        00:00:00 kworker/6:0H-events_highpri
     55 ?        00:00:00 cpuhp/7
     56 ?        00:00:00 idle_inject/7
     57 ?        00:00:00 migration/7
     58 ?        00:00:00 ksoftirqd/7
     60 ?        00:00:00 kworker/7:0H-events_highpri
     61 ?        00:00:00 cpuhp/8
     62 ?        00:00:00 idle_inject/8
     63 ?        00:00:00 migration/8
     64 ?        00:00:00 ksoftirqd/8
     66 ?        00:00:00 kworker/8:0H-events_highpri
     67 ?        00:00:00 cpuhp/9
     68 ?        00:00:00 idle_inject/9
     69 ?        00:00:00 migration/9
     70 ?        00:00:01 ksoftirqd/9
     72 ?        00:00:00 kworker/9:0H-events_highpri
     73 ?        00:00:00 cpuhp/10
     74 ?        00:00:00 idle_inject/10
     75 ?        00:00:00 migration/10
     76 ?        00:00:00 ksoftirqd/10
     78 ?        00:00:00 kworker/10:0H-events_highpri
     79 ?        00:00:00 cpuhp/11
     80 ?        00:00:00 idle_inject/11
     81 ?        00:00:00 migration/11
     82 ?        00:00:00 ksoftirqd/11
     84 ?        00:00:00 kworker/11:0H-events_highpri
     85 ?        00:00:00 kdevtmpfs
     86 ?        00:00:00 inet_frag_wq
     87 ?        00:00:00 kauditd
     88 ?        00:00:00 khungtaskd
     89 ?        00:00:00 oom_reaper
     90 ?        00:00:00 writeback
     91 ?        00:00:00 kcompactd0
     92 ?        00:00:00 ksmd
     93 ?        00:00:00 khugepaged
    140 ?        00:00:00 kintegrityd
    141 ?        00:00:00 kblockd
    142 ?        00:00:00 blkcg_punt_bio
    148 ?        00:00:00 tpm_dev_wq
    149 ?        00:00:00 ata_sff
    150 ?        00:00:00 md
    151 ?        00:00:00 edac-poller
    152 ?        00:00:00 devfreq_wq
    153 ?        00:00:00 watchdogd
    156 ?        00:00:00 kworker/3:1H-events_highpri
    158 ?        00:00:00 kswapd0
    159 ?        00:00:00 ecryptfs-kthrea
    161 ?        00:00:00 kthrotld
    162 ?        00:00:00 irq/120-aerdrv
    163 ?        00:00:00 irq/120-pcie-dp
    164 ?        00:00:00 irq/121-aerdrv
    165 ?        00:00:00 irq/121-pcie-dp
    166 ?        00:00:00 acpi_thermal_pm
    171 ?        00:00:00 vfio-irqfd-clea
    172 ?        00:00:00 mld
    173 ?        00:00:00 ipv6_addrconf
    182 ?        00:00:00 kstrp
    185 ?        00:00:00 zswap-shrink
    186 ?        00:00:00 kworker/u25:0-xprtiod
    191 ?        00:00:00 charger_manager
    217 ?        00:00:00 kworker/10:1H-events_highpri
    248 ?        00:00:00 kworker/1:1H-kblockd
    262 ?        00:00:00 nvme-wq
    263 ?        00:00:00 nvme-reset-wq
    264 ?        00:00:00 nvme-delete-wq
    267 ?        00:00:00 cryptd
    286 ?        00:00:00 kworker/6:1H-events_highpri
    290 ?        00:00:00 kworker/11:1H-events_highpri
    292 ?        00:00:00 kworker/4:1H-events_highpri
    296 ?        00:00:00 kworker/9:1H-events_highpri
    301 ?        00:00:00 kworker/7:1H-kblockd
